emotion,precision,recall,f1-score,support
angry,1.0,1.0,1.0,80.0
disgust,0.975609756097561,1.0,0.9876543209876543,80.0
fear,1.0,1.0,1.0,80.0
happy,1.0,1.0,1.0,80.0
neutral,1.0,0.975,0.9873417721518988,80.0
pleasant surprise,1.0,0.975,0.9873417721518988,80.0
sad,0.975609756097561,1.0,0.9876543209876543,80.0
accuracy,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.9928571428571429
macro avg,0.9930313588850174,0.9928571428571428,0.9928560266113008,560.0
weighted avg,0.9930313588850175,0.9928571428571429,0.992856026611301,560.0
