emotion,precision,recall,f1-score,support
angry,1.0,1.0,1.0,80.0
disgust,0.9876543209876543,1.0,0.9937888198757764,80.0
fear,1.0,1.0,1.0,80.0
happy,1.0,0.9875,0.9937106918238994,80.0
neutral,1.0,1.0,1.0,80.0
pleasant surprise,0.9875,0.9875,0.9875,80.0
sad,1.0,1.0,1.0,80.0
accuracy,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9964285714285714
macro avg,0.9964506172839506,0.9964285714285713,0.9964285016713823,560.0
weighted avg,0.9964506172839507,0.9964285714285714,0.9964285016713822,560.0
